Unnamed: 0,DayOfYear,Month,Date,Temperature (°C),Humidity (%),DewPoint,Precipitation (mm),Dengue
,67,Mar,8,28.6,69.7,22.3,0,9.857142857142858
,68,Mar,9,28.8,71.8,22.9,0,9.857142857142858
,69,Mar,10,28.8,68.8,21.8,0,9.857142857142858
,70,Mar,11,28.9,68.1,21.9,0,9.857142857142858
,71,Mar,12,28.6,69.6,22.1,0,9.857142857142858
,72,Mar,13,28.6,70.1,22.3,0,9.857142857142858
,73,Mar,14,28.3,66.1,20.9,0,9.857142857142858
,74,Mar,15,28.1,70.1,22.1,0,18.285714285714285
,75,Mar,16,28.3,75.6,23.3,0,18.285714285714285
,76,Mar,17,27.8,79,23.3,0,18.285714285714285
,77,Mar,18,27.3,83,23.8,15.3,18.285714285714285
,78,Mar,19,27.1,83.9,23.9,7.8,18.285714285714285
,79,Mar,20,28.1,79.9,23.8,0,18.285714285714285
,80,Mar,21,28.3,81.3,24.3,0,18.285714285714285
,81,Mar,22,29,77.4,24.1,18.6,8.571428571428571
,82,Mar,23,29,76,23.9,0,8.571428571428571
,83,Mar,24,28.9,76.4,23.9,0,8.571428571428571
,84,Mar,25,28.6,75.9,23.9,0,8.571428571428571
,85,Mar,26,29.4,72.8,23.5,0,8.571428571428571
,86,Mar,27,28.3,80.3,24.1,0,8.571428571428571
,87,Mar,28,29.1,77.4,24.6,19.2,8.571428571428571
,88,Mar,29,29.7,75.5,24.5,0,10.142857142857142
,89,Mar,30,29.4,71.1,23.4,0,10.142857142857142
,90,Mar,31,28.6,72.8,23.1,0,10.142857142857142
Apr,91,Apr,1,29.5,72.3,23.6,0,10.142857142857142
,92,Apr,2,29.6,71.9,23.5,0,10.142857142857142
,93,Apr,3,28.9,79.8,24.4,0,10.142857142857142
,94,Apr,4,27.6,83.4,24.3,21.3,10.142857142857142
,95,Apr,5,27.3,81.6,23.4,0.4,7.428571428571429
,96,Apr,6,26.9,84.5,23.9,7.7,7.428571428571429
,97,Apr,7,28.4,78.6,24.3,4.4,7.428571428571429
,98,Apr,8,27.9,82.1,24,0,7.428571428571429
,99,Apr,9,28.9,76,23.9,17.6,7.428571428571429
,100,Apr,10,27.4,83.4,24,0,7.428571428571429
,101,Apr,11,28.9,77.8,24.6,19.8,7.428571428571429
,102,Apr,12,28.1,62.9,24.3,0,6.0
,103,Apr,13,28.3,78.8,24.3,0,6.0
,104,Apr,14,28.4,81.1,24.5,0,6.0
,105,Apr,15,28.9,76.8,23.9,12.4,6.0
,106,Apr,16,28.9,75.6,23.9,0.2,6.0
,107,Apr,17,28.5,80,24.6,11.8,6.0
,108,Apr,18,29.6,76.3,24.9,3.1,6.0
,109,Apr,19,28.6,79,24.9,39.8,22.714285714285715
,110,Apr,20,29.5,78.3,25.5,0,22.714285714285715
,111,Apr,21,28.9,80.3,25,0,22.714285714285715
,112,Apr,22,27.1,85.6,24.5,0.2,22.714285714285715
,113,Apr,23,28.1,82.5,24.6,13.3,22.714285714285715
,114,Apr,24,28.3,83.4,24.8,0.6,22.714285714285715
,115,Apr,25,29.3,78.1,24.9,8.3,22.714285714285715
,116,Apr,26,30.4,75,25.3,0,16.428571428571427
,117,Apr,27,28.3,83.9,25.1,0.1,16.428571428571427
,118,Apr,28,28.4,81.5,24.5,1.9,16.428571428571427
,119,Apr,29,26.6,87.3,24,3,16.428571428571427
,120,Apr,30,27.6,80.3,23.8,79.8,16.428571428571427
May,121,May,1,28.7,79.1,24.4,0,16.428571428571427
,122,May,2,28.3,82,24.3,0,16.428571428571427
,123,May,3,27.1,86.6,24.4,2,20.857142857142858
,124,May,4,27.7,83.6,24.6,0.7,20.857142857142858
,125,May,5,26.4,90.8,24.6,20.2,20.857142857142858
,126,May,6,26.7,85.6,23.9,7.4,20.857142857142858
,127,May,7,26.7,84.3,23.9,4.5,20.857142857142858
,128,May,8,28.1,82.4,25,21,20.857142857142858
,129,May,9,28.6,81.6,24.8,4.4,20.857142857142858
,130,May,10,29.6,78.3,25.3,2.2,22.0
,131,May,11,29.3,76.8,24.3,0,22.0
,132,May,12,29.6,78.8,25.6,0,22.0
,133,May,13,29.8,74.9,24.8,0,22.0
,134,May,14,29.8,74.9,24.9,0,22.0
,135,May,15,30.6,68.6,23.9,0,22.0
,136,May,16,30,72.9,24.1,0.4,22.0
,137,May,17,29.9,71.6,24.3,0,47.0
,138,May,18,29.8,75.1,24.5,0,47.0
,139,May,19,29.5,77.3,25.3,0,47.0
,140,May,20,29.8,76.9,25.6,0.7,47.0
,141,May,21,27.9,82.6,24.6,3.7,47.0
,142,May,22,29.6,79.4,25.5,1,47.0
,143,May,23,30.4,72.6,25,0,47.0
,144,May,24,30.6,75,25.9,0,63.142857142857146
,145,May,25,30,75.3,25.3,0,63.142857142857146
,146,May,26,29.9,76.8,25.4,0,63.142857142857146
,147,May,27,30.1,78,25.9,0,63.142857142857146
,148,May,28,29.1,80.9,25.6,0.3,63.142857142857146
,149,May,29,28.8,82.3,25.5,11.9,63.142857142857146
,150,May,30,29,81,25.3,2.4,63.142857142857146
,151,May,31,29.9,76.7,25.7,3.8,66.28571428571429
Jun,152,Jun,1,28.6,84.3,25.6,0.5,66.28571428571429
,153,Jun,2,25.9,85.3,23.3,79.7,66.28571428571429
,154,Jun,3,26.9,90.6,25.1,8.6,66.28571428571429
,155,Jun,4,28.7,81,25,16,66.28571428571429
,156,Jun,5,29.6,75.9,24.9,5.2,66.28571428571429
,157,Jun,6,29.4,76,24.6,7,66.28571428571429
,158,Jun,7,30,74.1,24.7,0,54.42857142857143
,159,Jun,8,29.3,79.1,25.3,0.5,54.42857142857143
,160,Jun,9,29.3,74.7,24,0.5,54.42857142857143
,161,Jun,10,28.6,80.8,24.8,0,54.42857142857143
,162,Jun,11,28.4,81.6,25.2,2.2,54.42857142857143
,163,Jun,12,27.1,86.5,24.8,21.5,54.42857142857143
,164,Jun,13,28.4,80.4,24.6,24.5,54.42857142857143
,165,Jun,14,29.6,76.3,25.1,0,63.285714285714285
,166,Jun,15,29.1,75.9,24.3,0,63.285714285714285
,167,Jun,16,29.3,75.6,24.1,0,63.285714285714285
,168,Jun,17,29.3,75.4,24.6,0,63.285714285714285
,169,Jun,18,29.4,81.6,26,0,63.285714285714285
,170,Jun,19,29,80.5,25.4,1.8,63.285714285714285
,171,Jun,20,29.4,78.3,25.3,1.5,63.285714285714285
,172,Jun,21,29.9,64.4,21,0,70.14285714285714
,173,Jun,22,29.4,75.3,24.6,0,70.14285714285714
,174,Jun,23,29.5,74.8,24.3,0,70.14285714285714
,175,Jun,24,29.6,75.4,24.6,0,70.14285714285714
,176,Jun,25,29.3,75.4,24.5,5.5,70.14285714285714
,177,Jun,26,29.4,74.3,24.4,0,70.14285714285714
,178,Jun,27,29.6,74.6,24.5,0,70.14285714285714
,179,Jun,28,29.3,75.5,24.3,1.8,60.857142857142854
,180,Jun,29,28.4,82.1,24.6,10.6,60.857142857142854
,181,Jun,30,27.1,83.3,23.9,10.4,60.857142857142854
Jul,182,Jul,1,27.3,84.5,24.4,13.7,60.857142857142854
,183,Jul,2,29,76.1,24,14.9,60.857142857142854
,184,Jul,3,29.3,75.9,24.1,0,60.857142857142854
,185,Jul,4,29.1,76.9,24.3,0,60.857142857142854
,186,Jul,5,29,76.9,24.3,0,62.857142857142854
,187,Jul,6,28.6,78.3,24.5,0.2,62.857142857142854
,188,Jul,7,28.7,75.9,23.9,0,62.857142857142854
,189,Jul,8,28.9,77.5,24.3,0,62.857142857142854
,190,Jul,9,28.6,76.9,24.3,0,62.857142857142854
,191,Jul,10,28.3,76.5,23.8,0,62.857142857142854
,192,Jul,11,28.5,79.9,24.4,5,62.857142857142854
,193,Jul,12,29.5,73.8,24,0,53.0
,194,Jul,13,28.9,77.6,24.5,1.5,53.0
,195,Jul,14,28.6,78.5,24.4,0,53.0
,196,Jul,15,28.3,80.9,24.5,5.5,53.0
,197,Jul,16,28.5,79,24.1,5.2,53.0
,198,Jul,17,29,77.3,24.3,0,53.0
,199,Jul,18,28.6,78,24.4,0,53.0
,200,Jul,19,29.6,75.3,24.4,0,29.0
,201,Jul,20,28.9,79.6,25,0,29.0
,202,Jul,21,29.1,77.9,24.6,0,29.0
,203,Jul,22,28.9,77.8,24.5,0,29.0
,204,Jul,23,28.8,76.5,24.3,1.5,29.0
,205,Jul,24,28.5,69.5,25,0,29.0
,206,Jul,25,29,76.6,24.4,0,29.0
,207,Jul,26,29.1,75.3,24.3,0,29.857142857142858
,208,Jul,27,28,80.6,24,0,29.857142857142858
,209,Jul,28,27.6,84.8,24.9,21.7,29.857142857142858
,210,Jul,29,28.3,81.6,24.4,22.8,29.857142857142858
,211,Jul,30,29,76,24,0,29.857142857142858
,212,Jul,31,28.9,77.9,24.6,0,29.857142857142858
Aug,213,Aug,1,27.4,85,24.4,0,29.857142857142858
,214,Aug,2,27.4,84.9,24.4,32,35.142857142857146
,215,Aug,3,28,80.6,24.1,2.2,35.142857142857146
,216,Aug,4,27.9,79.8,23.8,20.9,35.142857142857146
,217,Aug,5,27.9,82,24.3,1.1,35.142857142857146
,218,Aug,6,28.1,82,24.4,9.1,35.142857142857146
,219,Aug,7,29,75.6,23.9,0,35.142857142857146
,220,Aug,8,27.6,83.4,24.4,0.7,35.142857142857146
,221,Aug,9,28,80.4,23.8,0.6,26.285714285714285
,222,Aug,10,28.3,79.5,24.1,0.7,26.285714285714285
,223,Aug,11,27.3,81.4,23.4,0.6,26.285714285714285
,224,Aug,12,27,83,23.7,21.3,26.285714285714285
,225,Aug,13,28,80.5,24.3,0,26.285714285714285
,226,Aug,14,28.4,76.5,23.8,0,26.285714285714285
,227,Aug,15,28.6,78.1,24.1,0,26.285714285714285
,228,Aug,16,28.9,76.6,24.1,0,23.0
,229,Aug,17,27.4,83.5,24,2,23.0
,230,Aug,18,27.3,85.7,24.4,8.1,23.0
,231,Aug,19,27,84.1,23.8,11.6,23.0
,232,Aug,20,28.1,79,24,1.6,23.0
,233,Aug,21,26.8,84.6,23.5,42.6,23.0
,234,Aug,22,24.4,93.5,22.9,49.5,23.0
,235,Aug,23,27.7,83.4,24.3,89.5,17.142857142857142
,236,Aug,24,27.9,82,24.1,10.8,17.142857142857142
,237,Aug,25,28.3,80.3,24.4,0.7,17.142857142857142
,238,Aug,26,28.1,75.4,23.1,0,17.142857142857142
,239,Aug,27,28.9,71.3,23.1,0,17.142857142857142
,240,Aug,28,28,61.8,23.4,0,17.142857142857142
,241,Aug,29,29.3,74,24,0,17.142857142857142
,242,Aug,30,29.1,74.4,23.7,0,15.714285714285714
,243,Aug,31,28.1,78.9,23.8,7.6,15.714285714285714
Sep,244,Sep,1,28.7,77.3,24.1,2.6,15.714285714285714
,245,Sep,2,26.5,83.5,23.3,9.5,15.714285714285714
,246,Sep,3,26.6,82.4,22.9,11.3,15.714285714285714
,247,Sep,4,27,81.3,23.3,12,15.714285714285714
,248,Sep,5,27.8,80.1,23.8,21.9,15.714285714285714
,249,Sep,6,29,75.3,24,1.6,21.0
,250,Sep,7,27.6,81.3,24,0.7,21.0
,251,Sep,8,28,79.3,23.9,5.8,21.0
,252,Sep,9,28,78.4,23.8,12.4,21.0
,253,Sep,10,27.8,80.5,24,8.7,21.0
,254,Sep,11,28.8,77,24,2.5,21.0
,255,Sep,12,28.5,77.5,24,1.7,21.0
,256,Sep,13,28.7,76.7,24,4.8,22.571428571428573
,257,Sep,14,28.1,80.9,24.3,0.2,22.571428571428573
,258,Sep,15,28,79.9,23.9,11.1,22.571428571428573
,259,Sep,16,29,75.9,23.9,5.8,22.571428571428573
,260,Sep,17,27.9,79,23.8,8.5,22.571428571428573
,261,Sep,18,28.6,78,24.1,0,22.571428571428573
,262,Sep,19,29,74.3,24,0.5,22.571428571428573
,263,Sep,20,29.1,72.7,23.4,0,22.571428571428573
,264,Sep,21,29,75.8,24.3,0,22.571428571428573
,265,Sep,22,29,76,24.3,0,22.571428571428573
,266,Sep,23,28.9,76.4,24,0,22.571428571428573
,267,Sep,24,28.4,81.5,24.3,0.4,22.571428571428573
,268,Sep,25,26.9,87.4,24.9,0.4,22.571428571428573
,269,Sep,26,26.4,87.4,24,5.2,22.571428571428573
,270,Sep,27,27.9,79.4,23.6,45.9,21.285714285714285
,271,Sep,28,29,76.3,23.8,0.8,21.285714285714285
,272,Sep,29,27.5,81.8,23.9,3.5,21.285714285714285
,273,Sep,30,26.5,84.5,23.4,41.5,21.285714285714285
Oct,274,Oct,1,26.1,85.1,23.4,24.1,21.285714285714285
,275,Oct,2,26.8,85.5,23.8,11.6,21.285714285714285
,276,Oct,3,27.5,82.3,23.8,0.3,21.285714285714285
,277,Oct,4,28.3,79.7,24.3,15.2,22.285714285714285
,278,Oct,5,28.9,78.7,24.4,0,22.285714285714285
,279,Oct,6,28.4,77.8,24,0.3,22.285714285714285
,280,Oct,7,25.9,93.1,24.5,30.3,22.285714285714285
,281,Oct,8,27.5,85.3,24.3,30.9,22.285714285714285
,282,Oct,9,28.1,82.5,24.6,15.9,22.285714285714285
,283,Oct,10,28.3,80.9,24.5,5.8,22.285714285714285
,284,Oct,11,29.1,74.1,24,2.3,25.142857142857142
,285,Oct,12,27.9,81.5,24.3,1.6,25.142857142857142
,286,Oct,13,28.5,78.5,24.3,1.6,25.142857142857142
,287,Oct,14,29,78,24.3,0.5,25.142857142857142
,288,Oct,15,27.4,80.6,23.8,0,25.142857142857142
,289,Oct,16,26.3,85.6,23.3,21,25.142857142857142
,290,Oct,17,25.9,90.1,23.9,28.4,25.142857142857142
,291,Oct,18,24.4,93.7,23.4,67.8,30.142857142857142
,292,Oct,19,27.1,82.8,23.9,25.6,30.142857142857142
,293,Oct,20,27.6,80.4,23.5,6.1,30.142857142857142
,294,Oct,21,27.5,81.5,23.8,0.2,30.142857142857142
,295,Oct,22,27.9,76.9,23.1,3,30.142857142857142
,296,Oct,23,27.1,79.8,23,81.8,30.142857142857142
,297,Oct,24,27.9,78.3,23.6,0,30.142857142857142
,298,Oct,25,27.7,80.9,24,0,25.0
,299,Oct,26,27.8,80.1,23.9,0.4,25.0
,300,Oct,27,27.8,78.6,23.5,4.1,25.0
,301,Oct,28,27.1,81.6,23.6,1.5,25.0
,302,Oct,29,26.4,84.5,23.4,4.4,25.0
,303,Oct,30,25.1,93.8,23.5,39.5,25.0
,304,Oct,31,26.1,84.6,23.1,25,25.0
Nov,305,Nov,1,28.7,73.2,22.8,0.3,42.285714285714285
,306,Nov,2,26.1,86.4,23.3,31.2,42.285714285714285
,307,Nov,3,25,92.1,23.5,19.5,42.285714285714285
,308,Nov,4,24.1,94.1,23.3,36.9,42.285714285714285
,309,Nov,5,27.6,82.5,24.1,28.3,42.285714285714285
,310,Nov,6,28.1,77.6,23.9,1.6,42.285714285714285
,311,Nov,7,27.5,78.3,23,0,42.285714285714285
,312,Nov,8,28.3,73.9,23.1,0,49.0
,313,Nov,9,27.9,76,22.8,0,49.0
,314,Nov,10,27.8,77.5,23.4,0,49.0
,315,Nov,11,26.9,78.6,22.4,1.3,49.0
,316,Nov,12,27.3,78.8,23.3,19.3,49.0
,317,Nov,13,26.9,83.1,23.6,0,49.0
,318,Nov,14,26.6,77,24.8,1.1,49.0
,319,Nov,15,28,76.3,23,5,43.0
,320,Nov,16,26.6,83.6,23.1,0,43.0
,321,Nov,17,25.9,87.5,23.4,11.5,43.0
,322,Nov,18,25.9,86,23,20.8,43.0
,323,Nov,19,25.5,86.9,23.1,12,43.0
,324,Nov,20,27.3,80.4,23.1,0,43.0
,325,Nov,21,26.6,85.4,23.9,1,43.0
,326,Nov,22,26.3,84.7,23.3,4,61.142857142857146
,327,Nov,23,26.3,85.9,23.4,3.2,61.142857142857146
,328,Nov,24,26.3,81.5,22.6,1.1,61.142857142857146
,329,Nov,25,25.6,89.9,23.6,4.7,61.142857142857146
,330,Nov,26,24.9,95.1,24.1,0.5,61.142857142857146
,331,Nov,27,25.9,89.4,23.9,0.4,61.142857142857146
,332,Nov,28,25.6,90.4,23.6,17.1,61.142857142857146
,333,Nov,29,26.3,81.3,22.9,12.2,45.714285714285715
,334,Nov,30,25.4,87.1,22.9,6.2,45.714285714285715
Dec,335,Dec,1,26.1,86.6,23.5,0.3,45.714285714285715
,336,Dec,2,26.4,84.4,23.3,30.2,45.714285714285715
,337,Dec,3,27.4,76,22.6,2,45.714285714285715
,338,Dec,4,27.3,71.4,21.4,0,45.714285714285715
,339,Dec,5,27.5,75.1,22.5,0,45.714285714285715
,340,Dec,6,27.1,81.7,23.1,0,46.57142857142857
,341,Dec,7,27.4,83,24.1,6.8,46.57142857142857
,342,Dec,8,27.1,84.1,24.1,7.7,46.57142857142857
,343,Dec,9,27,84.3,23.8,0.2,46.57142857142857
,344,Dec,10,25.4,88.9,23.3,10.4,46.57142857142857
,345,Dec,11,26.5,83.4,23.3,45.5,46.57142857142857
,346,Dec,12,26.3,85,23.3,6.7,46.57142857142857
,347,Dec,13,27.6,70.1,20.1,10.6,49.142857142857146
,348,Dec,14,27.1,84,24,1.3,49.142857142857146
,349,Dec,15,27.3,85.3,24.1,22.1,49.142857142857146
,350,Dec,16,27.4,82.3,24,8.6,49.142857142857146
,351,Dec,17,25.6,89.1,23.6,0.5,49.142857142857146
,352,Dec,18,26.4,87.3,23.5,9.8,49.142857142857146
,353,Dec,19,26.1,87.3,23.5,3.2,49.142857142857146
,354,Dec,20,23.9,88.4,22,8.7,61.714285714285715
,355,Dec,21,25.8,84.1,22.8,0.5,61.714285714285715
,356,Dec,22,24.5,90.5,22.9,1.2,61.714285714285715
,357,Dec,23,24.3,92.8,23,2.3,61.714285714285715
,358,Dec,24,24.6,94.1,23.5,5.9,61.714285714285715
,359,Dec,25,24.1,93.3,23,12,61.714285714285715
,360,Dec,26,24.5,84.9,21.9,54.4,61.714285714285715
,361,Dec,27,25.4,80.7,21.9,0,37.0
,362,Dec,28,25.1,90.3,23.3,12.3,37.0
,363,Dec,29,26.4,84,23.1,13.2,37.0
,364,Dec,30,26.4,83.3,23.1,3.5,37.0
,365,Dec,31,27.8,79.5,23.5,0.3,37.0
Jan,1,Jan,1,27.5,80.9,23.5,3.1,37.0
2015,2,Jan,2,26.3,78.8,22,0,37.0
,3,Jan,3,26.9,73.6,21.6,0,27.714285714285715
,4,Jan,4,27.6,77.8,23.1,0,27.714285714285715
,5,Jan,5,27.9,78.4,23.8,0.4,27.714285714285715
,6,Jan,6,27.1,79.5,22.9,0,27.714285714285715
,7,Jan,7,27.3,72.5,21.5,8.3,27.714285714285715
,8,Jan,8,26.6,79.5,22.5,0,27.714285714285715
,9,Jan,9,27,76.4,22.1,0,27.714285714285715
,10,Jan,10,27.4,62,19,0,43.142857142857146
,11,Jan,11,25,73.8,19.7,0,43.142857142857146
,12,Jan,12,26.7,62.4,18.4,0,43.142857142857146
,13,Jan,13,26,72.3,20.5,0,43.142857142857146
,14,Jan,14,26.9,75.3,21.6,0,43.142857142857146
,15,Jan,15,26.8,72.4,21.3,0,43.142857142857146
,16,Jan,16,27.1,76,22.3,0,43.142857142857146
,17,Jan,17,27.9,74.1,22.6,0,62.714285714285715
,18,Jan,18,27.8,70.4,21.9,0,62.714285714285715
,19,Jan,19,26.7,70.9,20.6,0,62.714285714285715
,20,Jan,20,26.9,74.3,22,0,62.714285714285715
,21,Jan,21,27.4,62.4,18.9,0,62.714285714285715
,22,Jan,22,25.3,82.5,22,0,62.714285714285715
,23,Jan,23,27.5,78.4,22.9,0,62.714285714285715
,24,Jan,24,27.1,80.3,23,1.9,58.57142857142857
,25,Jan,25,27.1,73.9,22.1,0,58.57142857142857
,26,Jan,26,27.8,68.8,21.3,0,58.57142857142857
,27,Jan,27,28,68.3,21.8,0,58.57142857142857
,28,Jan,28,27.6,76.5,22.8,0,58.57142857142857
,29,Jan,29,26.9,82.1,23.3,0,58.57142857142857
,30,Jan,30,26.6,79.1,22.5,1.6,58.57142857142857
,31,Jan,31,27.7,69.9,21.7,0.4,42.714285714285715
Feb,32,Feb,1,27,74.1,22.1,0,42.714285714285715
,33,Feb,2,27.9,70.3,21.9,0,42.714285714285715
,34,Feb,3,26,79.9,22,0,42.714285714285715
,35,Feb,4,27.3,78.1,22.9,10.9,42.714285714285715
,36,Feb,5,27.3,78.1,22.9,0,42.714285714285715
,37,Feb,6,26.3,82.9,22.9,1,42.714285714285715
,38,Feb,7,27.1,76.9,22.6,2.4,42.57142857142857
,39,Feb,8,27.4,74.5,22.4,0,42.57142857142857
,40,Feb,9,26.5,82.6,23.3,0,42.57142857142857
,41,Feb,10,25.5,86,22.9,9.6,42.57142857142857
,42,Feb,11,26.4,83.8,23.3,30.5,42.57142857142857
,43,Feb,12,26.6,81.3,23,1.8,42.57142857142857
,44,Feb,13,27.5,79.5,23.5,0.6,42.57142857142857
,45,Feb,14,27.3,78,23.1,0,20.285714285714285
,46,Feb,15,27,74.9,22,0,20.285714285714285
,47,Feb,16,26.6,68.9,20.1,0,20.285714285714285
,48,Feb,17,26.7,65.3,19.7,0,20.285714285714285
,49,Feb,18,26.3,68,19.8,0,20.285714285714285
,50,Feb,19,26.4,67.1,19.1,0,20.285714285714285
,51,Feb,20,26.8,67.6,19.5,0,20.285714285714285
,52,Feb,21,27.9,64.9,20.3,0,27.428571428571427
,53,Feb,22,27.5,73.6,22.3,0,27.428571428571427
,54,Feb,23,27.4,72.8,22.1,0,27.428571428571427
,55,Feb,24,27.8,75.8,23.1,0,27.428571428571427
,56,Feb,25,28.7,73.1,23.1,4.2,27.428571428571427
,57,Feb,26,28.9,73.7,23.4,0,27.428571428571427
,58,Feb,27,26.6,82.9,23,5.8,27.428571428571427
,59,Feb,28,27.4,75,22.4,9.3,17.571428571428573
Mar,60,Mar,1,29,68.7,22.4,0,17.571428571428573
,61,Mar,2,27.8,68.4,20.8,0,17.571428571428573
,62,Mar,3,28.1,79.5,24,2.2,17.571428571428573
,63,Mar,4,27.4,79.4,23.1,8.8,17.571428571428573
,64,Mar,5,28.4,71.9,22.5,0.3,17.571428571428573
,65,Mar,6,28.8,71.5,22.9,0,17.571428571428573
,66,Mar,7,29.3,70.9,23,0,17.714285714285715
,67,Mar,8,29,72.6,23.5,0,17.714285714285715
,68,Mar,9,28,77.6,23.1,3.8,17.714285714285715
,69,Mar,10,28,72.3,22.3,70.7,17.714285714285715
,70,Mar,11,27.2,77.3,22.7,0,17.714285714285715
,71,Mar,12,28.1,75.3,22.8,0,17.714285714285715
,72,Mar,13,26.4,85.4,23.4,10.3,17.714285714285715
,73,Mar,14,26,85.4,23.4,48.1,14.571428571428571
,74,Mar,15,27.8,76.5,22.9,51.5,14.571428571428571
,75,Mar,16,28.6,73.5,23.3,13.8,14.571428571428571
,76,Mar,17,28.2,82.5,24.5,0.2,14.571428571428571
,77,Mar,18,28.6,76.3,23.9,45.5,14.571428571428571
,78,Mar,19,28.8,74.3,23.3,0,14.571428571428571
,79,Mar,20,28.9,72.5,23.4,0,14.571428571428571
,80,Mar,21,29.1,70.6,23.1,0,11.428571428571429
,81,Mar,22,29.3,75.1,24.1,0,11.428571428571429
,82,Mar,23,29.4,73,23.9,0,11.428571428571429
,83,Mar,24,28.9,74.1,23.6,0,11.428571428571429
,84,Mar,25,28.9,71.5,23,0,11.428571428571429
,85,Mar,26,27.9,78.8,23.4,0,11.428571428571429
,86,Mar,27,26.5,83.6,23.3,15.2,11.428571428571429
,87,Mar,28,28.1,78.3,23.6,14.8,9.0
,88,Mar,29,28.1,77.4,23.6,0.5,9.0
,89,Mar,30,28.9,75.4,23.8,0.3,9.0
,90,Mar,31,28.5,78.3,23.8,0,9.0
Apr,91,Apr,1,27.7,82.4,23.6,13.3,9.0
,92,Apr,2,28.4,78.5,24,44.4,9.0
,93,Apr,3,29.8,73.9,24.4,0,9.0
,94,Apr,4,29.7,73,24.1,0,7.714285714285714
,95,Apr,5,29.9,72.5,24,0,7.714285714285714
